carat,cut,color,clarity,depth,table,x,y,z
1.01,1.0,1.0,5.0,59.6,59.0,6.53,6.46,3.87
2.21,0.0,3.0,6.0,60.1,60.0,8.47,8.53,5.11
0.38,2.0,1.0,4.0,61.2,56.0,4.67,4.71,2.87
0.39,0.0,2.0,2.0,62.0,54.0,4.7,4.72,2.92
1.02,0.0,4.0,5.0,61.2,56.0,6.49,6.51,3.98
2.01,3.0,5.0,6.0,59.1,59.0,8.09,8.14,4.8
0.3,0.0,2.0,0.0,62.2,53.0,4.34,4.38,2.71
0.7,1.0,2.0,5.0,62.1,59.0,5.68,5.72,3.54
1.0,4.0,4.0,4.0,64.8,55.0,6.35,6.28,4.09
0.41,2.0,3.0,3.0,60.6,56.0,4.83,4.87,2.94
0.43,0.0,0.0,3.0,61.6,56.0,4.85,4.86,2.99
0.32,0.0,1.0,3.0,61.9,56.0,4.38,4.41,2.72
0.31,0.0,1.0,5.0,61.5,55.0,4.37,4.41,2.7
1.2,1.0,2.0,3.0,61.8,59.0,6.79,6.76,4.19
0.39,2.0,1.0,6.0,63.0,61.0,4.62,4.65,2.92
0.3,0.0,3.0,0.0,60.7,57.0,4.34,4.39,2.65
1.0,0.0,2.0,2.0,61.9,57.0,6.47,6.42,3.99
0.31,0.0,3.0,0.0,61.0,57.0,4.36,4.39,2.67
1.53,1.0,3.0,3.0,62.6,60.0,7.39,7.3,4.6
1.31,0.0,5.0,3.0,62.1,56.0,7.01,7.04,4.36
1.01,2.0,2.0,5.0,62.7,56.0,6.37,6.39,4.0
0.53,2.0,1.0,6.0,63.0,57.0,5.13,5.16,3.24
0.35,0.0,2.0,1.0,61.5,55.0,4.51,4.56,2.79
1.38,3.0,6.0,6.0,63.7,58.0,7.06,7.01,4.48
0.78,1.0,3.0,4.0,60.8,58.0,6.03,5.95,3.64
1.07,1.0,5.0,5.0,61.2,58.0,6.62,6.55,4.03
0.31,2.0,3.0,4.0,58.8,62.0,4.4,4.41,2.59
0.51,2.0,3.0,4.0,62.3,59.0,5.07,5.1,3.17
1.05,0.0,3.0,4.0,61.6,59.0,6.51,6.54,4.02
0.4,2.0,3.0,6.0,63.1,59.0,4.7,4.65,2.95
0.32,0.0,1.0,2.0,62.0,55.0,4.38,4.4,2.72
0.33,1.0,4.0,2.0,61.6,58.0,4.45,4.42,2.73
1.0,1.0,5.0,5.0,60.5,59.0,6.54,6.49,3.94
1.01,2.0,1.0,5.0,61.1,57.0,6.43,6.46,3.94
0.32,0.0,2.0,3.0,61.3,56.0,4.4,4.44,2.71
0.9,2.0,3.0,6.0,61.1,55.0,6.21,6.26,3.81
0.51,0.0,0.0,4.0,61.6,56.0,5.15,5.17,3.18
0.38,1.0,3.0,3.0,61.9,56.0,4.68,4.63,2.88
0.33,0.0,3.0,0.0,60.9,57.0,4.45,4.48,2.72
